97 1224
5.943 4.833 4.742
6.284 3.144 3.599
7.454 2.696 3.578
5.818 4.07 3.86
4.514 4.08 4.998
5.643 5.77 2.704
5.508 5.146 4.104
6.263 2.975 4.951
7.494 3.731 3.314
5.523 3.134 3.695
6.724 3.025 4.813
6.468 2.646 3.804
5.839 5.301 4.148
5.662 2.625 3.454
6.719 2.988 3.146
6.793 4.238 5.198
6.809 3.017 3.462
5.625 4.955 5.124
5.894 4.864 5.099
7.562 3.557 4.165
7.477 4.411 4.31
6.457 5.436 1.955
7.378 2.837 3.107
7.431 4.534 2.871
5.855 3.656 4.666
6.427 3.657 4.059
5.93 6.229 2.898
5.63 5.498 4.125
7.031 3.587 4.605
6.754 4.216 4.124
6.478 2.386 3.846
6.908 2.135 5.082
4.905 2.843 4.216
6.084 4.97 4.949
7.299 2.396 4.563
4.525 3.431 4.355
6.156 5.217 5.143
5.628 2.366 4.621
6.128 2.033 5.11
6.569 2.612 4.894
5.566 3.571 3.981
6.24 6.135 3.54
6.271 3.047 3.845
5.515 4.187 2.975
5.639 2.881 3.605
6.647 4.679 4.992
5.602 3.295 3.889
7.421 5.304 4.702
5.365 4.861 5.1
6.053 3.128 5.052
7.284 3.499 3.232
4.423 3.848 4.462
6.484 6.184 3.594
5.261 2.29 5.321
5.896 5.136 5.257
6.657 3.259 3.679
4.579 5.646 5.937
5.05 1.667 4.894
6.665 6.362 2.951
5.161 1.729 3.764
7.755 4.967 5.921
7.566 4.673 2.68
7.244 5.004 5.392
6.534 2.894 4.964
7.621 4.297 2.74
7.515 4.692 2.405
6.567 1.688 4.605
7.189 4.6 5.536
6.195 1.951 3.556
7.252 5.285 4.912
5.821 1.814 3.609
6.04 5.145 1.665
6.228 1.542 4.979
7.028 4.728 1.56
7.609 4.868 5.635
7.835 3.504 3.871
5.941 2.028 3.496
7.368 4.096 2.151
7.196 5.471 4.455
5.616 4.3 1.782
7.129 3.791 2.4
7.054 4.804 5.431
5.358 4.093 1.92
6.127 2.466 2.306
6.227 3.344 5.223
6.742 2.288 3.364
7.421 4.634 5.705
4.585 4.06 5.659
4.927 1.921 4.829
7.122 3.976 1.945
7.208 3.797 2.12
6.382 2.422 3.539
7.249 3.549 2.051
6.447 2.132 3.545
5.518 4.287 2.047
7.266 5.09 5.103
6.133 2.22 2.417
70 13 0
59 13 0
18 87 0
87 48 0
48 84 0
37 13 0
32 44 0
32 13 0
30 37 0
32 49 0
49 24 0
1 46 0
46 3 0
34 93 0
